Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Fiyat Durumu,Price,Eşya Durumu,Müstakil mi,Dublex mi,Çatı katı mı,İlçe,Mahalle
90,95,3.0,25,0,5.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Sultangazi,50. Yıl Mahallesi
80,100,3.0,7,5,9.0,Merkezi (Pay Ölçer),Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,60000.0,0,0,0,0, Maltepe,Altayçeşme Mahallesi
80,95,3.0,17,3,11.0,Kombi Doğalgaz,Kiracı Oturuyor,Bilinmiyor,Hayır,1,0,Genel Fiyat,67500.0,0,0,0,0, Kadıköy,Fenerbahçe Mahallesi
120,135,4.0,7,3,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Kooperatiften Tapu,Hayır,2,1,Genel Fiyat,25000.0,0,0,0,0, Üsküdar,Murat Reis Mahallesi
65,90,3.0,0,6,11.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,40000.0,0,0,0,0, Kartal,Karlıktepe Mahallesi
93,105,3.0,25,2,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,1,Genel Fiyat,35000.0,0,0,0,0, Şişli,Meşrutiyet Mahallesi
120,130,4.0,7,3,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,22000.0,0,0,0,0, Eyüpsultan,Akşemsettin Mahallesi
70,75,3.0,25,-1,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,35000.0,0,0,0,0, Beşiktaş,Gayrettepe Mahallesi
70,90,3.0,25,1,4.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Kağıthane,Gültepe Mahallesi
90,100,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,11000.0,0,0,0,0, Esenyurt,Balıkyolu Mahallesi
75,120,2.0,7,0,26.0,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,2,0,Genel Fiyat,50000.0,1,0,0,0, Gaziosmanpaşa,Karadeniz Mahallesi
62,92,2.0,7,23,24.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,38000.0,1,0,0,0, Gaziosmanpaşa,Karadeniz Mahallesi
90,105,3.0,25,3,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,26000.0,0,0,0,0, Şişli,Fulya Mahallesi
70,80,1.0,7,3,14.0,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,1,0,Genel Fiyat,8000.0,0,0,0,0, Esenyurt,Pınar Mahallesi
80,90,3.0,25,2,3.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,14500.0,0,0,0,0, Büyükçekmece,Ulus Mahallesi
80,90,3.0,25,3,3.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,13500.0,0,0,0,0, Büyükçekmece,Ulus Mahallesi
85,90,3.0,25,4,5.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,1,Genel Fiyat,23000.0,0,0,0,0, Bahçelievler,Şirinevler Mahallesi
105,120,4.0,17,5,12.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,42000.0,0,0,0,0, Kağıthane,Nurtepe Mahallesi
130,140,4.0,17,8,13.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,2,0,Genel Fiyat,26000.0,0,0,0,0, Esenyurt,Cumhuriyet Mahallesi
77,85,3.0,17,3,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,24000.0,0,0,0,0, Gaziosmanpaşa,Merkez Mahallesi
180,215,6.0,7,5,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,1,Genel Fiyat,30000.0,0,0,0,0, Gaziosmanpaşa,Bağlarbaşı Mahallesi
75,85,3.0,25,0,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,18500.0,0,0,0,0, Fatih,Sümbül Efendi Mahallesi
80,85,3.0,25,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,21000.0,0,0,0,0, Eyüpsultan,Silahtarağa Mahallesi
55,65,2.0,25,3,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,16000.0,1,0,0,0, Avcılar,Merkez Mahallesi
80,85,3.0,13,2,4.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,1,Genel Fiyat,25000.0,0,0,0,0, Sultangazi,Uğur Mumcu Mahallesi
85,90,3.0,13,0,3.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,1,Birim Fiyat,13000.0,0,0,0,0, Esenyurt,Yeşilkent Mahallesi
100,120,4.0,25,0,6.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Evet,1,1,Genel Fiyat,16000.0,0,0,0,0, Esenyurt,Yeşilkent Mahallesi
52,65,2.0,0,10,20.0,Yerden Isıtma,Boş,Tapu Kaydı Yok,Hayır,1,1,Genel Fiyat,38000.0,0,0,0,0, Kadıköy,Merdivenköy Mahallesi
135,145,4.0,7,3,5.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,27000.0,0,0,0,0, Üsküdar,Selami Ali Mahallesi
119,120,4.0,25,2,4.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,1,Genel Fiyat,19500.0,0,0,0,0, Sultangazi,İsmetpaşa Mahallesi
60,80,2.0,3,19,19.0,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,1,0,Genel Fiyat,28000.0,1,0,0,0, Bağcılar,Mahmutbey Mahallesi
50,60,2.0,7,3,11.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,29500.0,0,0,0,0, Sancaktepe,Emek Mahallesi
70,80,3.0,25,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,18500.0,0,0,0,0, Eyüpsultan,Akşemsettin Mahallesi
229,270,6.0,25,3,25.0,Kombi Doğalgaz,Kiracı Oturuyor,Bilinmiyor,Hayır,0,0,Genel Fiyat,40000.0,0,0,0,0, Küçükçekmece,Cumhuriyet Mahallesi
115,135,4.0,25,1,7.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Kartal,Atalar Mahallesi
115,130,4.0,0,5,6.0,Yerden Isıtma,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,85000.0,0,0,0,0, Üsküdar,Çengelköy Mahallesi
50,60,2.0,7,5,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,23000.0,1,0,0,0, Kağıthane,Merkez Mahallesi
70,80,2.0,25,5,5.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,23000.0,0,0,0,1, Üsküdar,Zeynep Kamil Mahallesi
92,127,3.0,0,15,25.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,2,0,Genel Fiyat,35000.0,0,0,0,0, Büyükçekmece,Çakmaklı Mahallesi
130,150,4.0,13,2,7.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,40000.0,0,0,0,0, Ümraniye,Necip Fazıl Mahallesi
