,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Balkon Durumu,WC Sayısı,Fiyat Durumu,Price,Location,link,Eşya Durumu,Ada,Parsel,Balkon Sayısı,Balkon Tipi,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
0,17263265,02 Mayıs 2025,03 Mayıs 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,Yüksek Giriş,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,0 TL,Tapu Kaydı Yok,Hayır,15000 TL,Yok,1,Yok,1,Genel Fiyat,15.000TL, Sultangazi - 50. Yıl Mahallesi,https://www.emlakjet.com//ilan/zaferyapigayrimenkulden-kiralikgiriskat-daire-21-90m2-bekara-herkese-uygun-tranvay-dibi-50-yilmahde-17263265/,,,,,,,,,,
1,17195184,22 Nisan 2025,22 Nisan 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,5-10,5.Kat,9,Merkezi (Pay Ölçer),Boş,İkinci El,Betonarme,3850 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,60.000TL, Maltepe - Altayçeşme Mahallesi,https://www.emlakjet.com//ilan/altaycesme-evinpark-ada-kapali-mutfakli-genis-ve-lux-21-bos-17195184/,,,,,,,,,,
2,17195175,22 Nisan 2025,22 Nisan 2025,Konut,Kiralık,Daire,80 m²,95 m²,2+1,16-20,3.Kat,11,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,Betonarme,3000 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,67.500TL, Kadıköy - Fenerbahçe Mahallesi,https://www.emlakjet.com//ilan/fenerbahce-mehmet-sengun-sok-21-acik-kapali-otopl-cift-asansolu-17195175/,,,,,,,,,,
3,17280968,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,5-10,3.Kat,4,Kombi Doğalgaz,Mülk Sahibi Oturuyor,,,600 TL,Kooperatiften Tapu,Hayır,30000 TL,,2,Var,,Genel Fiyat,25.000TL, Üsküdar - Murat Reis Mahallesi,https://www.emlakjet.com//ilan/sahibinden-kiralik-17280968/,Boş,,,,,,,,,
4,17280961,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,65 m²,90 m²,2+1,0 (Yeni),6.Kat,11,Merkezi (Pay Ölçer),Boş,Sıfır,,5250 TL,Kat Mülkiyeti,Evet,50000 TL,,1,,,Genel Fiyat,40.000TL, Kartal - Karlıktepe Mahallesi,https://www.emlakjet.com//ilan/luks-daire-21-sahibinden-kiralik-17280961/,,11149,325,,,,,,,
5,17280848,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,93 m²,105 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,55000 TL,,1,Var,,Genel Fiyat,35.000TL, Şişli - Meşrutiyet Mahallesi,https://www.emlakjet.com//ilan/merkezi-konum-sahibinden-17280848/,Boş,9928,10,2,,,,,,
6,17280842,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,5-10,3.Kat,4,Kombi Doğalgaz,Boş,İkinci El,Betonarme,300 TL,Kooperatiften Tapu,Hayır,25000 TL,Yok,1,Var,2,Genel Fiyat,22.000TL, Eyüpsultan - Akşemsettin Mahallesi,https://www.emlakjet.com//ilan/eyup-parkin-orada-guzel-luks-daire-17280842/,Boş,,,2,Açık Balkon,Evet,,,,
7,17280833,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,21 Ve Üzeri,Kot 1 (-1).Kat,4,Kombi Doğalgaz,Boş,İkinci El,Betonarme,200 TL,Kat Mülkiyeti,Hayır,35000 TL,Yok,1,Var,1,Genel Fiyat,35.000TL, Beşiktaş - Gayrettepe Mahallesi,https://www.emlakjet.com//ilan/gayrettepede-21-75-m2-kombili-balkonlu-yenilenmis-ferah-daire-17280833/,Boş,1084,4,1,Açık Balkon,Evet,6 m²,3 m²,25 m²,6 m²
8,17280728,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,90 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,,,,Tapu Kaydı Yok,Hayır,,,1,,,Genel Fiyat,22.000TL, Kağıthane - Gültepe Mahallesi,https://www.emlakjet.com//ilan/kiralik-21-gultepede-buyuk-balkonlu-yesillikler-icerisinde-gunesli-daire-17280728/,,,,,,,,,,
9,17280691,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,11000 TL,,1,,,Genel Fiyat,11.000TL, Esenyurt - Balıkyolu Mahallesi,https://www.emlakjet.com//ilan/esenyurt-balikyolu-kiralik-21-daire-17280691/,,3076,71,,,,,,,
